role,generation,mean_fitness,size,optimal_genotype,interaction_values
prey,121,0.7567271244700976,4277,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,122,0.7562762810313494,4331,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,123,0.7564532365065947,4297,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,124,0.7565456744920067,4373,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,125,0.757374371201651,4399,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,126,0.7538431337371894,4315,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,127,0.753621664777269,4214,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,128,0.7528472168459309,4202,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,129,0.7528933129689067,4202,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,130,0.7524172016457321,4161,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,131,0.7532796277069799,4122,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,132,0.7531899898853744,4196,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,133,0.7552946721047281,4085,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,134,0.7551485383335138,4122,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,135,0.7551695724112504,4100,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,136,0.7550965828525589,4112,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,137,0.7542325801147625,4234,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,138,0.7546299482727261,4135,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,139,0.7551358473832145,4197,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,140,0.7546694177392008,4213,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,141,0.7533262120812242,4159,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,142,0.7547008740155,4085,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,143,0.7537180836198158,4138,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,144,0.7551253481223452,4067,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,145,0.7593394960839008,3983,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,146,0.7596447202479346,3959,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,147,0.761173119522451,3931,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,148,0.7613508568475911,4145,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,149,0.7609237722664012,4104,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
